source_rank,company_name,domain,api_name,events_last_12_months,event_type_counts,publishers,avg_relevance_confidence,latest_event_date,sample_event_count,data_completeness_percent,raw_response_path
4,ST Engineering,stengg.com,NewsAPI Everything API,10,expansion: 1; launch: 2; leadership: 2; other: 5,CNA; CNBC; Decrypt; Globalsecurity.org; GlobeNewswire; MarketBeat; PRNewswire,0.50,2026-06-12,10,100.00,raw/newsapi/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,NewsAPI Everything API,9,launch: 4; other: 5,BusinessLine; GlobeNewswire; PRNewswire; Yahoo Entertainment,0.58,2026-06-12,9,100.00,raw/newsapi/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,NewsAPI Everything API,10,launch: 3; other: 7,Dailymail.com; Fox News; GlobeNewswire; PR Newswire UK; PRNewswire; Playstation.com,0.48,2026-06-08,10,100.00,raw/newsapi/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,NewsAPI Everything API,10,launch: 2; leadership: 1; other: 7,Abcnews.com; Business Insider; BusinessLine; Crypto Briefing; Etf.com; GlobeNewswire; SamMobile; Yahoo Entertainment,0.48,2026-06-12,10,100.00,raw/newsapi/data/samsung_electronics.json
8,SK Hynix,skhynix.com,NewsAPI Everything API,10,other: 10,Biztoc.com; Crypto Briefing; Etf.com; SiliconANGLE News; Slashdot.org; The Times of India; Theregister.com; TweakTown; Yahoo Entertainment,0.60,2026-06-13,10,80.00,raw/newsapi/data/sk_hynix.json
9,Infosys,infosys.com,NewsAPI Everything API,10,funding: 2; other: 8,BusinessLine; The Sunday Guardian; The Times of India; Thehillstimes.in,0.49,2026-06-13,10,100.00,raw/newsapi/data/infosys.json
10,BHP,bhp.com,NewsAPI Everything API,10,other: 10,ABC News (AU); BusinessLine; Ibtimes.com.au; Pypi.org; Silodrome.com; The Times of India,0.58,2026-06-13,10,80.00,raw/newsapi/data/bhp.json
1,DBS Group,dbs.com,PredictLeads News/Events API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,PredictLeads News/Events API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,PredictLeads News/Events API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads/data/united_overseas_bank.json
4,ST Engineering,stengg.com,PredictLeads News/Events API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,PredictLeads News/Events API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,PredictLeads News/Events API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,PredictLeads News/Events API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads/data/samsung_electronics.json
8,SK Hynix,skhynix.com,PredictLeads News/Events API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads/data/sk_hynix.json
9,Infosys,infosys.com,PredictLeads News/Events API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads/data/infosys.json
10,BHP,bhp.com,PredictLeads News/Events API,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/predictleads/data/bhp.json
1,DBS Group,dbs.com,GDELT,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/gdelt/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,GDELT,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/gdelt/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,GDELT,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/gdelt/data/united_overseas_bank.json
4,ST Engineering,stengg.com,GDELT,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/gdelt/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,GDELT,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/gdelt/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,GDELT,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/gdelt/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,GDELT,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/gdelt/data/samsung_electronics.json
8,SK Hynix,skhynix.com,GDELT,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/gdelt/data/sk_hynix.json
9,Infosys,infosys.com,GDELT,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/gdelt/data/infosys.json
10,BHP,bhp.com,GDELT,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,0.00,raw/gdelt/data/bhp.json
