source_rank,company_name,domain,api_name,field,status,reason,raw_response_path
5,Toyota Motor Corporation,global.toyota,GDELT,Event headline + URL + date,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,GDELT,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,GDELT,Source / publisher,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,GDELT,Relevance / confidence,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,GDELT,"Coverage depth (events per account, last 12 months)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,GDELT,Event headline + URL + date,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,GDELT,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,GDELT,Source / publisher,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,GDELT,Relevance / confidence,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,GDELT,"Coverage depth (events per account, last 12 months)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,GDELT,Event headline + URL + date,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,GDELT,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,GDELT,Source / publisher,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,GDELT,Relevance / confidence,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,GDELT,"Coverage depth (events per account, last 12 months)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/samsung_electronics.json
8,SK Hynix,skhynix.com,GDELT,Event headline + URL + date,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/sk_hynix.json
8,SK Hynix,skhynix.com,GDELT,"Event type (funding, expansion, launch, leadership, M&A)",Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/sk_hynix.json
8,SK Hynix,skhynix.com,GDELT,Source / publisher,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/sk_hynix.json
8,SK Hynix,skhynix.com,GDELT,Relevance / confidence,Not Tested,GDELT needs no API key but was not included in the scoped live run.,raw/gdelt/data/sk_hynix.json
