source_rank,company_name,domain,api_name,event_headline,event_url,event_date,event_type,source_publisher,relevance_confidence,source_field,raw_response_path
4,ST Engineering,stengg.com,Exa Search API,TKMS & ST Engineering Unite for Singapore Marine Hub,https://hobbyistnews.com/tkms-st-engineering-hub/,2026-04-23,other,hobbyistnews.com,0.70,results.7,raw/exa/data/st_engineering.json
4,ST Engineering,stengg.com,Exa Search API,"ST Engineering bags S$600 million contract to design, supply boat platform systems for Kuwaiti navy - The Business Times",https://www.businesstimes.com.sg/companies-markets/st-engineering-bags-s600-million-contract-design-supply-boat-platform-systems-kuwaiti-navy,2026-04-01,launch,businesstimes.com.sg,0.80,results.8,raw/exa/data/st_engineering.json
4,ST Engineering,stengg.com,Exa Search API,ST Engineering lands $100m smart mobility contracts in Middle East | Singapore Business Review,https://sbr.com.sg/building-engineering/news/st-engineering-lands-100m-smart-mobility-contracts-in-middle-east,2026-05-08,other,sbr.com.sg,0.70,results.9,raw/exa/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,Exa Search API,Toyota Motor Corporation aims to join Daimler Truck and Volvo Group as equal shareholder in the fuel cell joint venture cellcentric,https://newsroom.toyota.eu/toyota-motor-corporation-aims-to-join-daimler-truck-and-volvo-group-as-equal-shareholder-in-the-fuel-cell-joint-venture-cellcentric/,2026-03-31,other,newsroom.toyota.eu,0.70,results.0,raw/exa/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Exa Search API,TMC Announces Changes to Executive Structure | Corporate,https://global.toyota/en/newsroom/corporate/43951723.html,2026-02-06,other,global.toyota,0.60,results.1,raw/exa/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Exa Search API,Isuzu and Toyota to jointly develop Japan's first mass-produced light-duty fuel cell electric truck aiming to start production in 2027 to help build a hydrogen society - Toyota Media Site,https://media.toyota.co.uk/isuzu-and-toyota-to-jointly-develop-japans-first-mass-produced-light-duty-fuel-cell-electric-truck-aiming-to-start-production-in-2027-to-help-build-a-hydrogen-society/,2026-04-16,other,media.toyota.co.uk,0.45,results.2,raw/exa/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Exa Search API,"Toyota takes Tier IV stake, MoU in regional autonomy push | Automotive World",https://www.automotiveworld.com/news/toyota-takes-tier-iv-stake-mou-in-regional-autonomy-push/,2026-06-10,other,automotiveworld.com,0.45,results.3,raw/exa/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Exa Search API,Toyota Announces $912 Million Investment in U.S. to Expand Hybrid ...,https://global.toyota/en/newsroom/corporate/43577463.html,2025-11-18,funding,global.toyota,0.70,results.4,raw/exa/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Exa Search API,Toyota Motor Corporation to Join Daimler Truck & Volvo Group in Fuel Cell Joint Venture Cellcentric | Work Truck Online,https://www.worktruckonline.com/news/toyota-motor-corporation-to-join-daimler-truck-volvo-group-in-fuel-cell-joint-ve,2026-04-06,other,worktruckonline.com,0.70,results.5,raw/exa/data/toyota_motor_corporation.json
5,Toyota Motor Corporation,global.toyota,Exa Search API,Toyota Announces Strategic Collaboration with Hyroad to Deploy Hydrogen Fuel Cell Trucks - Toyota USA Newsroom,https://pressroom.toyota.com/toyota-announces-strategic-collaboration-with-hyroad-to-deploy-hydrogen-fuel-cell-trucks/,2026-05-04,partnership,pressroom.toyota.com,0.55,results.6,raw/exa/data/toyota_motor_corporation.json
